"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","8","","Age Gate, Login, browse","","borrowbook","","Borrow Book","Location - features/borrowbook.feature:8"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","11","","Age Gate, Login, browse","","viewoptions","","Navigate Book","Location - features/viewoptions.feature:8"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","9","","Age Gate, Login, browse","","navigatebooks","","Navigate Book","Location - features/navigatebooks.feature:8"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","8","","Age Gate, Login, browse","","initiallogin","","Initial Navigation Checks","Location - features/initiallogin.feature:8"
"broken","Wed Sep 07 18:40:59 GMT 2022","Wed Sep 07 18:42:03 GMT 2022","64292","","Age Gate, Login, browse","","appoptions","","View app options","Location - features/appoptions.feature:8"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","10","","Age Gate, Login, browse","","fontoptions","","Font Options","Location - features/fontoptions.feature:8"
"passed","Wed Sep 07 18:39:54 GMT 2022","Wed Sep 07 18:40:59 GMT 2022","64480","","Age Gate, Login, browse","","1appoptions","","View app options","Location - features/1appoptions.feature:8"
"broken","Wed Sep 07 18:38:24 GMT 2022","Wed Sep 07 18:38:24 GMT 2022","15","","Age Gate, Login, browse","","mybooks","","My Books","Location - features/mybooks.feature:8"
